,BINODENOSON,TOZADENANT,VIPADENANT,EVODENOSON,ISTRADEFYLLINE,APADENOSON,SONEDENOSON,UK432097,ETRUMADENANT,SIPAGLADENANT,ST1535,CIFORADENANT,BVT.115959,AMP579
Gen_21,0.09183673469387756,0.09473684210526316,0.1,0.09174311926605505,0.1686746987951807,0.08256880733944955,0.07142857142857142,0.08870967741935484,0.09090909090909091,0.10416666666666667,0.060240963855421686,0.11,0.07954545454545454,0.08411214953271028
Gen_22,0.061224489795918366,0.10989010989010989,0.06666666666666667,0.09433962264150944,0.11904761904761904,0.08490566037735849,0.07368421052631578,0.1,0.08247422680412371,0.08421052631578947,0.0625,0.06930693069306931,0.08235294117647059,0.10784313725490197
Gen_23,0.05660377358490566,0.11224489795918367,0.07216494845360824,0.09734513274336283,0.1724137931034483,0.09821428571428571,0.06796116504854369,0.1111111111111111,0.0761904761904762,0.08823529411764706,0.06896551724137931,0.08411214953271028,0.08695652173913043,0.11009174311926606
Gen_24,0.0673076923076923,0.10204081632653061,0.13186813186813187,0.07894736842105263,0.1348314606741573,0.07964601769911504,0.06862745098039216,0.07751937984496124,0.10891089108910891,0.1,0.06976744186046512,0.11650485436893204,0.08791208791208792,0.09090909090909091
Gen_25,0.08695652173913043,0.1411764705882353,0.08235294117647059,0.08737864077669903,0.0975609756097561,0.08823529411764706,0.08888888888888889,0.09401709401709402,0.08602150537634409,0.07608695652173914,0.08,0.09473684210526316,0.08641975308641975,0.11224489795918367
Gen_26,0.0784313725490196,0.10309278350515463,0.0967741935483871,0.0990990990990991,0.07526881720430108,0.1,0.1368421052631579,0.08661417322834646,0.09900990099009901,0.10101010101010101,0.04597701149425287,0.08571428571428572,0.10112359550561797,0.10185185185185185
Gen_27,0.08737864077669903,0.14736842105263157,0.10638297872340426,0.10714285714285714,0.0625,0.10810810810810811,0.06796116504854369,0.09375,0.10784313725490197,0.12121212121212122,0.08139534883720931,0.09433962264150944,0.08695652173913043,0.08035714285714286
Gen_28,0.12871287128712872,0.12121212121212122,0.09278350515463918,0.13513513513513514,0.14285714285714285,0.13636363636363635,0.10891089108910891,0.136,0.10576923076923077,0.1188118811881188,0.10465116279069768,0.1346153846153846,0.13333333333333333,0.11818181818181818
Gen_29,0.037037037037037035,0.09,0.10638297872340426,0.0782608695652174,0.1724137931034483,0.07894736842105263,0.06796116504854369,0.08527131782945736,0.15306122448979592,0.07766990291262135,0.056818181818181816,0.11538461538461539,0.08695652173913043,0.07079646017699115
Gen_30,0.11578947368421053,0.09574468085106383,0.10112359550561797,0.11320754716981132,0.18518518518518517,0.125,0.09473684210526316,0.13559322033898305,0.09183673469387756,0.12903225806451613,0.07407407407407407,0.1,0.09302325581395349,0.11650485436893204
Gen_31,0.06862745098039216,0.11578947368421053,0.09782608695652174,0.11009174311926606,0.1,0.10091743119266056,0.07,0.11382113821138211,0.1,0.10204081632653061,0.058823529411764705,0.10784313725490197,0.07777777777777778,0.12380952380952381
Gen_32,0.05825242718446602,0.10416666666666667,0.06315789473684211,0.06140350877192982,0.1,0.061946902654867256,0.0594059405940594,0.07874015748031496,0.0891089108910891,0.06930693069306931,0.046511627906976744,0.056074766355140186,0.05434782608695652,0.07272727272727272
Gen_33,0.06060606060606061,0.0967741935483871,0.10227272727272728,0.06363636363636363,0.09195402298850575,0.06422018348623854,0.07291666666666667,0.08130081300813008,0.08163265306122448,0.09473684210526316,0.04878048780487805,0.09,0.056818181818181816,0.08571428571428572
Gen_34,0.061224489795918366,0.14772727272727273,0.07865168539325842,0.10476190476190476,0.189873417721519,0.12745098039215685,0.0851063829787234,0.1092436974789916,0.09375,0.11956521739130435,0.0759493670886076,0.06930693069306931,0.10843373493975904,0.10784313725490197
Gen_35,0.0707070707070707,0.10752688172043011,0.11363636363636363,0.07272727272727272,0.11627906976744186,0.07339449541284404,0.07216494845360824,0.08943089430894309,0.13829787234042554,0.09375,0.06097560975609756,0.1,0.09302325581395349,0.09523809523809523
Gen_36,0.10465116279069768,0.09523809523809523,0.0875,0.09183673469387756,0.04938271604938271,0.09278350515463918,0.06896551724137931,0.06956521739130435,0.10344827586206896,0.09302325581395349,0.05555555555555555,0.08791208791208792,0.09210526315789473,0.07216494845360824
Gen_37,0.07547169811320754,0.08823529411764706,0.08163265306122448,0.08620689655172414,0.18181818181818182,0.10619469026548672,0.07692307692307693,0.109375,0.09523809523809523,0.10784313725490197,0.09195402298850575,0.102803738317757,0.0851063829787234,0.11818181818181818
Gen_38,0.0660377358490566,0.13402061855670103,0.07142857142857142,0.08695652173913043,0.09574468085106383,0.0782608695652174,0.0673076923076923,0.11023622047244094,0.08571428571428572,0.12,0.06818181818181818,0.13592233009708737,0.06315789473684211,0.07964601769911504
Gen_39,0.06,0.08421052631578947,0.13953488372093023,0.07272727272727272,0.12941176470588237,0.06363636363636363,0.07216494845360824,0.08064516129032258,0.12631578947368421,0.09375,0.06097560975609756,0.1111111111111111,0.09302325581395349,0.08490566037735849
Gen_40,0.07865168539325842,0.09411764705882353,0.07317073170731707,0.10204081632653061,0.10256410256410256,0.10309278350515463,0.08045977011494253,0.09734513274336283,0.07777777777777778,0.09195402298850575,0.0547945205479452,0.06382978723404255,0.09090909090909091,0.10526315789473684
Gen_41,0.0967741935483871,0.125,0.056179775280898875,0.12871287128712872,0.09523809523809523,0.10784313725490197,0.07526881720430108,0.1111111111111111,0.061855670103092786,0.09782608695652174,0.07792207792207792,0.0707070707070707,0.0975609756097561,0.11
Gen_42,0.1111111111111111,0.15476190476190477,0.13580246913580246,0.13131313131313133,0.13924050632911392,0.16842105263157894,0.08888888888888889,0.16363636363636364,0.10989010989010989,0.11235955056179775,0.125,0.11827956989247312,0.11392405063291139,0.1595744680851064
