,BINODENOSON,TOZADENANT,VIPADENANT,EVODENOSON,ISTRADEFYLLINE,APADENOSON,SONEDENOSON,UK432097,ETRUMADENANT,SIPAGLADENANT,ST1535,CIFORADENANT,BVT.115959,AMP579
Gen_59,0.07547169811320754,0.08823529411764706,0.0707070707070707,0.07692307692307693,0.10638297872340426,0.08695652173913043,0.12,0.09230769230769231,0.08490566037735849,0.0761904761904762,0.11764705882352941,0.07272727272727272,0.07368421052631578,0.17142857142857143
Gen_60,0.06481481481481481,0.08737864077669903,0.0594059405940594,0.07627118644067797,0.08247422680412371,0.09565217391304348,0.0761904761904762,0.08333333333333333,0.07407407407407407,0.11764705882352941,0.043478260869565216,0.09174311926605505,0.061855670103092786,0.13761467889908258
Gen_61,0.09615384615384616,0.09900990099009901,0.09278350515463918,0.125,0.11827956989247312,0.12612612612612611,0.13131313131313133,0.12698412698412698,0.10576923076923077,0.10784313725490197,0.07954545454545454,0.12380952380952381,0.10869565217391304,0.12844036697247707
Gen_62,0.10638297872340426,0.12222222222222222,0.10344827586206896,0.13725490196078433,0.10588235294117647,0.16161616161616163,0.14606741573033707,0.14782608695652175,0.09375,0.15730337078651685,0.1038961038961039,0.1368421052631579,0.10843373493975904,0.15306122448979592
Gen_63,0.08653846153846154,0.0891089108910891,0.07142857142857142,0.10619469026548672,0.10752688172043011,0.11711711711711711,0.11,0.1015625,0.09615384615384616,0.10891089108910891,0.09302325581395349,0.11428571428571428,0.07446808510638298,0.12962962962962962
Gen_64,0.102803738317757,0.12745098039215685,0.06796116504854369,0.1016949152542373,0.08,0.11206896551724138,0.10476190476190476,0.10606060606060606,0.0625,0.10377358490566038,0.042105263157894736,0.0990990990990991,0.09278350515463918,0.11403508771929824
Gen_65,0.09917355371900827,0.09243697478991597,0.08695652173913043,0.09848484848484848,0.12844036697247707,0.11627906976744186,0.08264462809917356,0.1258741258741259,0.08943089430894309,0.11864406779661017,0.05555555555555555,0.10483870967741936,0.08035714285714286,0.11811023622047244
Gen_66,0.10526315789473684,0.0851063829787234,0.07777777777777778,0.10377358490566038,0.13095238095238096,0.1485148514851485,0.09574468085106383,0.13675213675213677,0.09278350515463918,0.11827956989247312,0.075,0.10101010101010101,0.08139534883720931,0.15151515151515152
Gen_67,0.09090909090909091,0.09345794392523364,0.08737864077669903,0.1092436974789916,0.1,0.12931034482758622,0.09259259259259259,0.13846153846153847,0.08035714285714286,0.10185185185185185,0.06315789473684211,0.09734513274336283,0.08,0.13157894736842105
Gen_68,0.09259259259259259,0.12745098039215685,0.06796116504854369,0.1111111111111111,0.17391304347826086,0.12173913043478261,0.07407407407407407,0.12307692307692308,0.07207207207207207,0.08333333333333333,0.07608695652173914,0.10909090909090909,0.09278350515463918,0.12389380530973451
Gen_69,0.07042253521126761,0.11194029850746269,0.09090909090909091,0.0718954248366013,0.10077519379844961,0.08666666666666667,0.11940298507462686,0.07142857142857142,0.0625,0.10218978102189781,0.08130081300813008,0.09090909090909091,0.08527131782945736,0.1103448275862069
Gen_70,0.06666666666666667,0.10619469026548672,0.07142857142857142,0.12,0.08256880733944955,0.1487603305785124,0.08620689655172414,0.10638297872340426,0.10256410256410256,0.10434782608695652,0.05825242718446602,0.08196721311475409,0.07407407407407407,0.1322314049586777
Gen_71,0.06930693069306931,0.12903225806451613,0.06382978723404255,0.10091743119266056,0.07692307692307693,0.10185185185185185,0.09278350515463918,0.0967741935483871,0.07920792079207921,0.10309278350515463,0.047058823529411764,0.09803921568627451,0.09090909090909091,0.125
Gen_72,0.0784313725490196,0.09183673469387756,0.07368421052631578,0.10909090909090909,0.0989010989010989,0.11009174311926606,0.09090909090909091,0.08661417322834646,0.07766990291262135,0.07920792079207921,0.08333333333333333,0.11764705882352941,0.08888888888888889,0.10185185185185185
