generated,ZINC000018043251,ZINC000000897089,ZINC000000537964,ZINC000019796168,ZINC000013818943,ZINC000000608213,ZINC000000002226,ZINC000001530968,ZINC000000538275,ZINC000013763987,ZINC000000591993,ZINC000019632706,ZINC000000001084,ZINC000003874185,ZINC000019632912,ZINC000004340269,ZINC000000057674,ZINC000001530689,ZINC000000001290,ZINC000000897085,ZINC000003869685,ZINC000003807804,ZINC000000403567,ZINC000003871576,ZINC000000607971,ZINC000000896740,ZINC000000596881,ZINC000000643055,ZINC000085205448
4eiy_inpaint.sdf#10,0.069444,0.102273,0.102273,0.098039,0.057692,0.092308,0.081081,0.126984,0.096774,0.040000,0.113636,0.113636,0.070423,0.102273,0.086420,0.054054,0.100000,0.075000,0.061538,0.102273,0.062500,0.136986,0.092105,0.064935,0.107143,0.107143,0.094118,0.094118,0.113924
4eiy_inpaint.sdf#11,0.137931,0.102564,0.102564,0.086022,0.064516,0.016949,0.095238,0.016949,0.083333,0.046875,0.060976,0.060976,0.101695,0.102564,0.054795,0.046875,0.047619,0.056338,0.054545,0.102564,0.042254,0.028571,0.125000,0.044118,0.025000,0.025000,0.025000,0.025000,0.069444
4eiy_inpaint.sdf#12,0.070175,0.080000,0.080000,0.066667,0.068182,0.018519,0.066667,0.018519,0.036145,0.033333,0.064935,0.064935,0.071429,0.080000,0.058824,0.050847,0.033898,0.029412,0.039216,0.080000,0.029851,0.046875,0.098361,0.031250,0.054795,0.054795,0.040541,0.040541,0.074627
4eiy_inpaint.sdf#13,0.209302,0.107692,0.107692,0.101266,0.089744,0.045455,0.100000,0.045455,0.069444,0.081633,0.073529,0.073529,0.186047,0.107692,0.086207,0.060000,0.106383,0.051724,0.073171,0.107692,0.071429,0.054545,0.137255,0.075472,0.046154,0.046154,0.046154,0.046154,0.086207
4eiy_inpaint.sdf#14,0.095238,0.072289,0.072289,0.083333,0.073684,0.050000,0.058824,0.050000,0.068182,0.029412,0.058824,0.058824,0.096774,0.072289,0.052632,0.029412,0.078125,0.040000,0.051724,0.072289,0.054795,0.056338,0.102941,0.057143,0.075949,0.075949,0.075949,0.075949,0.052632
4eiy_inpaint.sdf#15,0.088235,0.080460,0.080460,0.101010,0.103093,0.046154,0.084507,0.062500,0.087912,0.071429,0.104651,0.104651,0.089552,0.080460,0.062500,0.056338,0.072464,0.064103,0.081967,0.080460,0.064935,0.038961,0.095890,0.067568,0.071429,0.071429,0.071429,0.071429,0.103896
4eiy_inpaint.sdf#16,0.105263,0.130435,0.130435,0.122642,0.093458,0.114286,0.060976,0.098592,0.079208,0.089744,0.153846,0.153846,0.092105,0.130435,0.104651,0.062500,0.090909,0.120482,0.085714,0.130435,0.069767,0.125000,0.097561,0.072289,0.111111,0.111111,0.111111,0.111111,0.144578
4eiy_inpaint.sdf#17,0.048387,0.103896,0.103896,0.098901,0.065217,0.035088,0.062500,0.053571,0.084337,0.047619,0.075000,0.075000,0.049180,0.103896,0.085714,0.015385,0.048387,0.072464,0.096154,0.103896,0.028169,0.028986,0.092308,0.029412,0.038462,0.038462,0.038462,0.038462,0.070423
4eiy_inpaint.sdf#18,0.100000,0.088608,0.088608,0.109890,0.087912,0.034483,0.078125,0.071429,0.070588,0.046875,0.101266,0.101266,0.101695,0.088608,0.084507,0.030769,0.064516,0.071429,0.074074,0.088608,0.057143,0.090909,0.107692,0.059701,0.064935,0.064935,0.051282,0.051282,0.100000
4eiy_inpaint.sdf#19,0.053571,0.097222,0.097222,0.105882,0.095238,0.039216,0.033333,0.060000,0.105263,0.052632,0.095890,0.095890,0.054545,0.097222,0.060606,0.034483,0.017241,0.096774,0.108696,0.097222,0.030769,0.031746,0.083333,0.032258,0.071429,0.071429,0.071429,0.071429,0.093750
4eiy_inpaint.sdf#20,0.048193,0.103093,0.103093,0.089286,0.090909,0.094595,0.046512,0.109589,0.076923,0.060241,0.102041,0.102041,0.048780,0.103093,0.113636,0.047619,0.074074,0.103448,0.097222,0.103093,0.055556,0.148148,0.068966,0.057471,0.107527,0.107527,0.095745,0.095745,0.088889
4eiy_inpaint.sdf#21,0.017544,0.114286,0.114286,0.033333,0.045977,0.019608,0.033898,0.019608,0.037500,0.017241,0.039474,0.039474,0.017857,0.114286,0.029851,0.017241,0.017544,0.015152,0.020408,0.114286,0.031250,0.015873,0.032258,0.032787,0.057143,0.057143,0.042254,0.042254,0.029851
4eiy_inpaint.sdf#22,0.117647,0.090909,0.090909,0.088235,0.101010,0.060606,0.067568,0.076923,0.074468,0.054795,0.077778,0.077778,0.102941,0.090909,0.060976,0.040541,0.070423,0.075949,0.079365,0.090909,0.076923,0.051282,0.108108,0.065789,0.069767,0.069767,0.057471,0.057471,0.074074
4eiy_inpaint.sdf#23,0.071429,0.081081,0.081081,0.091954,0.068966,0.038462,0.050000,0.038462,0.103896,0.051724,0.109589,0.109589,0.092593,0.081081,0.044118,0.051724,0.034483,0.078125,0.061224,0.081081,0.046154,0.031250,0.064516,0.048387,0.041096,0.041096,0.041096,0.041096,0.126984
4eiy_inpaint.sdf#25,0.117647,0.069444,0.069444,0.095238,0.071429,0.040816,0.071429,0.040816,0.064935,0.054545,0.068493,0.068493,0.098039,0.069444,0.062500,0.035714,0.055556,0.064516,0.088889,0.069444,0.048387,0.032787,0.125000,0.050847,0.057971,0.057971,0.057971,0.057971,0.062500
4eiy_inpaint.sdf#26,0.030769,0.048193,0.048193,0.051546,0.052632,0.016667,0.044776,0.016667,0.045455,0.030303,0.035294,0.035294,0.064516,0.048193,0.040000,0.030303,0.030769,0.027027,0.017241,0.048193,0.041667,0.028169,0.028169,0.028571,0.037500,0.037500,0.037500,0.037500,0.040000
4eiy_inpaint.sdf#27,0.108696,0.109375,0.109375,0.102564,0.063291,0.046512,0.080000,0.046512,0.101449,0.040000,0.058824,0.058824,0.111111,0.109375,0.068966,0.040000,0.108696,0.034483,0.048780,0.109375,0.072727,0.055556,0.096154,0.076923,0.080645,0.080645,0.080645,0.080645,0.068966
4eiy_inpaint.sdf#28,0.071429,0.111111,0.111111,0.079545,0.120482,0.080000,0.105263,0.102041,0.118421,0.109091,0.157143,0.157143,0.072727,0.111111,0.109375,0.070175,0.132075,0.169492,0.155556,0.111111,0.096774,0.081967,0.081967,0.101695,0.085714,0.085714,0.085714,0.085714,0.163934
4eiy_inpaint.sdf#29,0.078947,0.073684,0.073684,0.093458,0.074766,0.070423,0.062500,0.070423,0.114583,0.064103,0.119565,0.119565,0.080000,0.073684,0.081395,0.050633,0.064935,0.109756,0.072464,0.073684,0.058824,0.073171,0.086420,0.060976,0.139535,0.139535,0.152941,0.152941,0.094118
4eiy_inpaint.sdf#30,0.121212,0.119048,0.119048,0.123711,0.114583,0.096774,0.069444,0.114754,0.100000,0.071429,0.144578,0.144578,0.123077,0.119048,0.103896,0.086957,0.104478,0.106667,0.100000,0.119048,0.078947,0.142857,0.111111,0.082192,0.111111,0.111111,0.111111,0.111111,0.148649
4eiy_inpaint.sdf#31,0.057692,0.071429,0.071429,0.058824,0.060241,0.020833,0.054545,0.020833,0.052632,0.037037,0.070423,0.070423,0.058824,0.071429,0.047619,0.000000,0.057692,0.032258,0.044444,0.071429,0.032787,0.033898,0.051724,0.034483,0.028986,0.028986,0.028986,0.028986,0.081967
4eiy_inpaint.sdf#32,0.061224,0.107692,0.107692,0.115385,0.049383,0.150000,0.078431,0.150000,0.069444,0.127660,0.089552,0.089552,0.062500,0.107692,0.105263,0.081633,0.106383,0.129630,0.157895,0.107692,0.071429,0.115385,0.137255,0.075472,0.152542,0.152542,0.172414,0.172414,0.086207
4eiy_inpaint.sdf#33,0.036364,0.084507,0.084507,0.057471,0.058824,0.020000,0.034483,0.040816,0.064935,0.054545,0.068493,0.068493,0.037037,0.084507,0.046154,0.035714,0.036364,0.064516,0.065217,0.084507,0.048387,0.032787,0.032787,0.050847,0.028169,0.028169,0.042857,0.042857,0.079365
4eiy_inpaint.sdf#34,0.048387,0.089744,0.089744,0.111111,0.126437,0.017241,0.046154,0.053571,0.125000,0.031250,0.116883,0.116883,0.049180,0.089744,0.041096,0.047619,0.031746,0.104478,0.075472,0.089744,0.042857,0.028986,0.092308,0.044776,0.038462,0.038462,0.038462,0.038462,0.117647
4eiy_inpaint.sdf#35,0.079365,0.073171,0.073171,0.084211,0.063158,0.016393,0.059701,0.050847,0.081395,0.045455,0.098765,0.098765,0.080645,0.073171,0.053333,0.045455,0.046154,0.054795,0.052632,0.073171,0.041096,0.027778,0.104478,0.042857,0.063291,0.063291,0.050000,0.050000,0.097222
4eiy_inpaint.sdf#36,0.145833,0.086957,0.086957,0.111111,0.100000,0.020833,0.074074,0.042553,0.095890,0.037037,0.070423,0.070423,0.102041,0.086957,0.100000,0.076923,0.057692,0.066667,0.093023,0.086957,0.067797,0.033898,0.150943,0.071429,0.044118,0.044118,0.044118,0.044118,0.064516
4eiy_inpaint.sdf#37,0.081081,0.063830,0.063830,0.084906,0.086538,0.027778,0.064103,0.042254,0.082474,0.038462,0.074468,0.074468,0.082192,0.063830,0.045977,0.038462,0.052632,0.059524,0.058824,0.063830,0.060241,0.023810,0.088608,0.062500,0.032258,0.032258,0.032258,0.032258,0.070588
4eiy_inpaint.sdf#38,0.029412,0.071429,0.071429,0.050000,0.084211,0.015873,0.028169,0.032258,0.067416,0.028986,0.109756,0.109756,0.029851,0.071429,0.051948,0.044118,0.014493,0.053333,0.068966,0.071429,0.026316,0.000000,0.055556,0.027397,0.023810,0.023810,0.023810,0.023810,0.080000
4eiy_inpaint.sdf#39,0.049180,0.063291,0.063291,0.100000,0.077778,0.017544,0.046875,0.035714,0.059524,0.048387,0.049383,0.049383,0.050000,0.063291,0.056338,0.000000,0.032258,0.057971,0.076923,0.063291,0.028571,0.029412,0.093750,0.029851,0.052632,0.052632,0.038961,0.038961,0.041667
4eiy_inpaint.sdf#40,0.046154,0.060241,0.060241,0.061856,0.086022,0.033333,0.044118,0.050847,0.044944,0.061538,0.085366,0.085366,0.046875,0.060241,0.053333,0.014706,0.030303,0.069444,0.090909,0.060241,0.055556,0.042254,0.088235,0.057971,0.050000,0.050000,0.050000,0.050000,0.082192
4eiy_inpaint.sdf#41,0.068493,0.065217,0.065217,0.076190,0.121212,0.043478,0.094595,0.058824,0.084211,0.053333,0.137931,0.137931,0.069444,0.065217,0.059524,0.067568,0.054054,0.060976,0.076923,0.065217,0.088608,0.037037,0.076923,0.077922,0.068182,0.068182,0.056180,0.056180,0.141026
4eiy_inpaint.sdf#42,0.080645,0.087500,0.087500,0.085106,0.086957,0.070175,0.060606,0.070175,0.082353,0.046154,0.073171,0.073171,0.081967,0.087500,0.054054,0.046154,0.080645,0.070423,0.092593,0.087500,0.071429,0.057971,0.089552,0.074627,0.064103,0.064103,0.064103,0.064103,0.068493
4eiy_inpaint.sdf#43,0.076923,0.094737,0.094737,0.112150,0.114286,0.098592,0.087500,0.114286,0.101010,0.062500,0.129032,0.129032,0.077922,0.094737,0.067416,0.075949,0.076923,0.068966,0.085714,0.094737,0.082353,0.084337,0.097561,0.085366,0.098901,0.098901,0.098901,0.098901,0.130952
